Index,Activation,Epochs,Learning Rate,MSE Training Data,MSE Testing data
160,sigmoid,33,0.010000000000000002,16.9234401876466,3.928099405749091
161,sigmoid,26,0.001,17.494933880756893,4.224519088480811
162,sigmoid,26,0.002,16.929221210671674,3.944977705661662
163,sigmoid,26,0.003,16.92347614364566,3.9293254369500628
164,sigmoid,26,0.004,16.923440315929305,3.9281721323382865
165,sigmoid,26,0.005,16.923440187876444,3.928102482695579
166,sigmoid,26,0.006,16.92344018764678,3.9280994895546373
167,sigmoid,26,0.007,16.923440187646616,3.9280994070210085
168,sigmoid,26,0.008,16.923440187646605,3.9280994057576466
169,sigmoid,26,0.009000000000000001,16.92344018764661,3.9280994057491085
170,sigmoid,26,0.010000000000000002,16.9234401876466,3.9280994057490908
171,sigmoid,20,0.001,18.415395457633114,4.54929059387125
172,sigmoid,20,0.002,16.969112657445763,3.982901970965253
173,sigmoid,20,0.003,16.924377914324914,3.934549227538253
174,sigmoid,20,0.004,16.92345271935015,3.9288210340660754
175,sigmoid,20,0.005,16.923440286566855,3.928163265677903
176,sigmoid,20,0.006,16.923440188045213,3.9281034580726337
177,sigmoid,20,0.007,16.923440187647255,3.928099570494748
178,sigmoid,20,0.008,16.923440187646605,3.9280994093540773
179,sigmoid,20,0.009000000000000001,16.923440187646616,3.9280994057804883
180,sigmoid,20,0.010000000000000002,16.923440187646587,3.928099405749152
181,sigmoid,16,0.001,19.707539964654774,4.963325381233867
182,sigmoid,16,0.002,17.10336516354458,4.059207893948659
183,sigmoid,16,0.003,16.931668784664694,3.948569289252769
184,sigmoid,16,0.004,16.923705849196068,3.931473997217396
185,sigmoid,16,0.005,16.9234458262249,3.9285827667986117
186,sigmoid,16,0.006,16.923440257863216,3.928153205374093
187,sigmoid,16,0.007,16.923440188078384,3.92810362330463
188,sigmoid,16,0.008,16.9234401876476,3.92809960836252
189,sigmoid,16,0.009000000000000001,16.923440187646573,3.9280994104499736
190,sigmoid,16,0.010000000000000002,16.923440187646598,3.9280994057819845
191,sigmoid,12,0.001,22.00699271980615,5.657597098225997
192,sigmoid,12,0.002,17.621769308414358,4.272426650856208
193,sigmoid,12,0.003,16.995175821963347,4.000408021189052
194,sigmoid,12,0.004,16.929057990765596,3.944717458667942
195,sigmoid,12,0.005,16.923761341530284,3.9318170144157176
196,sigmoid,12,0.006,16.92345255403661,3.928816237927978
197,sigmoid,12,0.007,16.92344047060382,3.9282074402662164
198,sigmoid,12,0.008,16.923440190794565,3.9281107940990645
199,sigmoid,12,0.009000000000000001,16.92344018765861,3.928100109576528
200,sigmoid,12,0.010000000000000002,16.923440187646598,3.928099423827729
201,sigmoid,9,0.001,24.73995182609011,6.451200387476872
202,sigmoid,9,0.002,18.810539304227714,4.679057193569512
203,sigmoid,9,0.003,17.282475606131882,4.139543145858834
204,sigmoid,9,0.004,16.978457682300434,3.98947120890653
205,sigmoid,9,0.005,16.93007781997389,3.9462958668911354
206,sigmoid,9,0.006,16.924037315715132,3.9332084563446954
207,sigmoid,9,0.007,16.923476822598204,3.929337043643144
208,sigmoid,9,0.008,16.923441513912167,3.9283334773900114
209,sigmoid,9,0.009000000000000001,16.92344020967661,3.928129536096043
210,sigmoid,9,0.010000000000000002,16.92344018774883,3.9281014579674673
211,sigmoid,7,0.001,27.19519053042392,7.148533342254545
212,sigmoid,7,0.002,20.50429321376522,5.208082870490244
213,sigmoid,7,0.003,17.95545586373985,4.392491723613825
214,sigmoid,7,0.004,17.172439076857223,4.091676040713233
215,sigmoid,7,0.005,16.97310286773592,3.985755401546083
216,sigmoid,7,0.006,16.9313309253617,3.9481028241161598
217,sigmoid,7,0.007,16.92437628842581,3.934543430217918
218,sigmoid,7,0.008,16.923514678748344,3.929869783090821
219,sigmoid,7,0.009000000000000001,16.923443485407148,3.9284688067957045
220,sigmoid,7,0.010000000000000002,16.92344024383634,3.9281475309867253
221,sigmoid,5,0.001,30.24232373729911,8.001139048281464
